
Linear Search
Range , Time Taken,
0,0,
1000,0.00011763,
2000,1.928e-05,
3000,5.035e-05,
4000,2.073e-05,
5000,2.334e-05,
6000,2.68e-05,
7000,2.818e-05,
8000,3.209e-05,
9000,3.43e-05,
10000,3.633e-05,
11000,4.385e-05,
12000,4.684e-05,
13000,5.696e-05,
14000,4.922e-05,
15000,6.054e-05,
16000,5.485e-05,
17000,6.511e-05,
18000,6.876e-05,
19000,6.143e-05,
20000,7.223e-05,
21000,7.594e-05,
22000,6.827e-05,
23000,8.935e-05,
24000,8.448e-05,
25000,8.917e-05,
26000,9.471e-05,
27000,9.177e-05,
28000,0.00012551,
29000,0.00011247,
30000,9.219e-05,
31000,9.524e-05,
32000,9.727e-05,
33000,9.486e-05,
34000,0.00010245,
35000,0.00010418,
36000,0.00010813,
37000,0.00010209,
38000,0.00011216,
39000,0.0001172,
40000,0.00011957,
41000,0.00012282,
42000,0.00012278,
43000,0.00012296,
44000,0.00014953,
45000,0.00020435,
46000,0.00020956,
47000,0.00021747,
48000,0.00067508,
49000,0.00016899,
50000,0.00018635,
51000,0.00020703,
52000,0.00020804,
53000,0.00018684,
54000,0.0001771,
55000,0.00156977,
56000,0.00019486,
57000,0.00020508,
58000,0.00018263,
59000,0.00024412,
60000,0.00021962,
61000,0.00023343,
62000,0.000199261,
63000,0.00021359,
64000,0.000272839,
65000,0.000205371,
66000,0.000227,
67000,0.00020963,
68000,0.00025057,
69000,0.00025418,
70000,0.00025208,
71000,0.00025987,
72000,0.00027361,
73000,0.00026888,
74000,0.00029408,
75000,0.00032567,
76000,0.00024635,
77000,0.0003209,
78000,0.0002812,
79000,0.00028493,
80000,0.0002438,
81000,0.00025525,
82000,0.00027666,
83000,0.00025926,
84000,0.00025709,
85000,0.00028178,
86000,0.00027177,
87000,0.00029649,
88000,0.00104705,
89000,0.00028345,
90000,0.00028648,
91000,0.00032511,
92000,0.00034492,
93000,0.0002777,
94000,0.00029144,
95000,0.00028591,
96000,0.00030645,
97000,0.00051753,
98000,0.00051289,
99000,0.00045913,
100000,0.00075792,
101000,0.00035039,
102000,0.000374901,
103000,0.000335629,
104000,0.000328441,
105000,0.00036986,
106000,0.000362431,
107000,0.000324501,
108000,0.0009484,
109000,0.00035385,
110000,0.00039431,
111000,0.000375351,
112000,0.000384949,
113000,0.00039246,
114000,0.00034141,
115000,0.00133156,
116000,0.0004288,
117000,0.00045542,
118000,0.00038673,
119000,0.00050304,
120000,0.00042291,
121000,0.00039613,
122000,0.000427169,
123000,0.00047306,
124000,0.000371901,
125000,0.000398141,
126000,0.000579839,
127000,0.000424881,
128000,0.000582969,
129000,0.000413251,
130000,0.000693939,
131000,0.00078922,
132000,0.00050873,
133000,0.00041687,
134000,0.00067579,
135000,0.00041655,
136000,0.00038717,
137000,0.00041927,
138000,0.00043812,
139000,0.00044087,
140000,0.00041654,
141000,0.00042581,
142000,0.00046185,
143000,0.00046669,
144000,0.00049428,
145000,0.00041556,
146000,0.00042171,
147000,0.00041127,
148000,0.00044621,
149000,0.00053161,
150000,0.00044366,
151000,0.00115816,
152000,0.00053287,
153000,0.000605999,
154000,0.000627291,
155000,0.00042802,
156000,0.000494139,
157000,0.00050684,
158000,0.00055584,
159000,0.00050936,
160000,0.00047038,
161000,0.00044838,
162000,0.00049201,
163000,0.00056233,
164000,0.00047753,
165000,0.0004993,
166000,0.00047824,
167000,0.00047609,
168000,0.00072349,
169000,0.00055018,
170000,0.00055345,
171000,0.00061269,
172000,0.00050092,
173000,0.00063743,
174000,0.000660041,
175000,0.000571481,
176000,0.000641229,
177000,0.00059895,
178000,0.0368619,
179000,0.00077035,
180000,0.00065855,
181000,0.00168123,
182000,0.00050253,
183000,0.00052395,
184000,0.00053234,
185000,0.00053574,
186000,0.00053311,
187000,0.00061735,
188000,0.0006195,
189000,0.00059272,
190000,0.00232506,
191000,0.0005482,
192000,0.00056599,
